Time,FCC,PSA,mp31,mp32,Concert Calendar
12:00,Legal,,General Promo,,
12:15,,,Grant: Doodle's #2,Artist ID,
12:30,,2,,Blockshow Promo,
12:45,,,Grant: Sqecial #2,,X
1:00,Legal,,General Promo,,
1:15,,,Grant: Shooting Frenzy #2,Artist ID,
1:30,,3,,Blockshow Promo,
1:45,,,Grant: Puccini's #2,,
2:00,Legal,,General Promo,,
2:15,,,Grant: Mecca #2,Artist ID,
2:30,,4,,Blockshow Promo,
2:45,,,Grant: Cosmic Charlie's #2,,X
3:00,Legal,,General Promo,,
3:15,,,Grant: Morris Bookshop #2,Artist ID,
3:30,,5,,Blockshow Promo,
3:45,,,Grant: Tadoo #2,,
4:00,Legal,,General Promo,,
4:15,,,Grant: Carnegie Center #2,Artist ID,
4:30,,6,,Blockshow Promo,
4:45,,,,,X
5:00,Legal,,General Promo,,
5:15,,,Grant: CD Central #1,Artist ID,
5:30,,7,,Blockshow Promo,
5:45,,,Grant: Doodle's #1,,
6:00,Legal,,General Promo,,
6:15,,,Grant: Sqecial #1,Artist ID,
6:30,,8,,Blockshow Promo,
6:45,,,Grant: Shooting Frenzy #1,,X
7:00,Legal,,General Promo,,
7:15,,,Grant: Puccini's #1,Artist ID,
7:30,,9,,Blockshow Promo,
7:45,,,Grant: Mecca #1,,
8:00,Legal,,General Promo,,
8:15,,,Grant: Cosmic Charlie's #1,Artist ID,
8:30,,1,,Blockshow Promo,
8:45,,,Grant: Morris Bookshop #1,,X
9:00,Legal,,General Promo,,
9:15,,,Grant: Tadoo #1,Artist ID,
9:30,,2,,Blockshow Promo,
9:45,,,Grant: Carnegie Center #1,,
10:00,Legal,,Safe Harbor,,
10:15,,,,Artist ID,
10:30,Safe,3,,Blockshow Promo,
10:45,,,Grant: CD Central #2,,X
11:00,Legal,,,,
11:15,,,Grant: Doodle's #2,Artist ID,
11:30,Safe,4,,Blockshow Promo,
11:45,,,Grant: Sqecial #2,,
